id,Height_inches,gender,Hair_color,Eye-Color,Age
1,67,male,brown,brown,25
2,64,female,brown,green,23
3,74,male,blond,blue,27
4,73,Male,brown,brown,35
5,60,female,red,green,40
6,61,female,brown,green,45
7,73,female,blond,blue,
8,70,female,brown,blue,50
9,56,female,blond,brown,60
10,57,male,blond,brown,18
11,64,,brown,brown,25
12,69,male,brown,green,23
13,69,female,blond,,27
14,70,female,brown,brown,35
15,71,female,red,green,40
16,60,female,,green,45
17,80,male,blond,blue,41
18,75,male,brown,blue,50
19,78,male,blond,brown,60
20,69,male,blond,brown,18
21,,female,brown,brown,25
22,66,male,brown,green,23
23,74,female,blond,blue,27
24,72,male,brown,brown,35
25,68,female,red,green,40
26,64,female,brown,green,45
27,63,female,blond,blue,41
28,,male,brown,blue,50
29,70,male,blond,brown,60
30,62,male,blond,brown,18
